Name,Place ID,Rating,Types,User Ratings Total,Vicinity
Café Romand,ChIJCW8qVzIujEcRvk9qLl3Opbw,3.6,"cafe, restaurant, food, store, point_of_interest, establishment",623,"Place Saint-François 2, Lausanne"
Holy Cow!,ChIJ4T0hey4ujEcRZ91a1oBwUu8,4.3,"restaurant, food, point_of_interest, establishment",2793,"Rue des Terreaux 10, Lausanne"
Base Bar,ChIJJ0-aB9YxjEcRM_ksGnIzJQA,4.2,"bar, cafe, restaurant, food, store, point_of_interest, establishment",715,"Avenue de Sévelin 46, Lausanne"
"Le Kotchi, Sushis-Ramen-Udon-Bento",ChIJIyH7hdEvjEcRB32bf1I6kCY,4.6,"restaurant, food, point_of_interest, establishment",105,"Avenue Frédéric-César-de-la-Harpe 17A, Lausanne"
Il lido,ChIJg3cX6S4wjEcRNIPDV-NlWzY,3.6,"restaurant, food, point_of_interest, establishment",710,"Avenue Emile-Henri-Jaques-Dalcroze 9, Lausanne"
La Bruschetta,ChIJZXVjSjMujEcR_8zys6-YwWc,4.4,"restaurant, food, point_of_interest, establishment",518,"Avenue de la Gare 20, Lausanne"
Tropicana Restaurant,ChIJCW8qVzIujEcR3xd-g3qRpvA,3.9,"restaurant, food, point_of_interest, establishment",428,"Place Saint-François 2, Lausanne"
Café de Grancy,ChIJIRNEgtIvjEcRZkPEKNs6wCA,4.1,"cafe, restaurant, food, point_of_interest, establishment",1778,"Avenue du Rond-Point 1, Lausanne"
Les Brasseurs Lausanne,ChIJLQ6BSTIujEcRFeCUDsl7LUQ,4.0,"bar, restaurant, food, point_of_interest, establishment",3009,"Rue Centrale 4, Lausanne"
Cavallo Bianco,ChIJwVdMNikujEcRfjmDb0DGjm8,3.9,"restaurant, food, point_of_interest, establishment",279,"Place Chauderon 24, Lausanne"
Restaurant de la HEP Vaud #Cours33,ChIJ2T1xp9YvjEcReEVWTSFmN2I,4.3,"restaurant, food, point_of_interest, establishment",6,"Avenue de Cour 33, Lausanne"
Le temps est venu,ChIJOSKNzS4ujEcRSCtj5B0rkAI,5.0,"meal_delivery, restaurant, food, point_of_interest, establishment",7,"Place Chauderon 20, Lausanne"
La Bavaria - Brasserie Lausanne,ChIJ0bE79zIujEcREScx_2NT2HE,4.3,"restaurant, food, point_of_interest, establishment",476,"Rue du Petit-Chêne 10, Lausanne"
Sushiman,ChIJIeVSRjMujEcRUfINJxS2otA,4.4,"meal_takeaway, restaurant, food, point_of_interest, establishment",25,"Rue de la Grotte 8, Lausanne"
McDonald’s Restaurant,ChIJb8gF_TEujEcR7W81WYpikAc,3.6,"restaurant, cafe, food, point_of_interest, establishment",1646,"Rue Saint-Laurent 20, Lausanne"
le Pinocchio,ChIJH1simtEvjEcR5fiCczyyG1I,4.0,"restaurant, food, point_of_interest, establishment",341,"Avenue Frédéric-César-de-la-Harpe 16, Lausanne"
Restaurant Péruvien Chez Loïc Sàrl,ChIJIfPUgNUvjEcRXBwRfU9jFx8,4.0,"restaurant, food, point_of_interest, establishment",304,"Avenue de Cour 63, Lausanne"
Sucré Salé Cour,ChIJZTjbDSswjEcRHF5DBE2SGyY,4.6,"meal_takeaway, restaurant, food, point_of_interest, establishment",84,"Avenue de Cour 80, Lausanne"
Restaurant de Fontenay,ChIJtYoZNdUvjEcRczv_jvfWSAQ,3.9,"restaurant, food, point_of_interest, establishment",221,"Chemin de Fontenay 7B, Lausanne"
Le Mont d'Or,ChIJix0woSwwjEcRn2NjbgiKEOU,3.8,"restaurant, meal_delivery, meal_takeaway, bar, food, point_of_interest, establishment",591,"Chemin de Contigny 1, Lausanne"
