Name,Place ID,Rating,Types,User Ratings Total,Vicinity
Hôtel du Port,ChIJ8VEyW8UvjEcRXtUAk7tqocA,4.2,"lodging, restaurant, food, point_of_interest, establishment",360,"Place du Port 5, Lausanne"
Lausanne Palace,ChIJs_J19TIujEcRAr8G9B1OxWU,4.6,"beauty_salon, spa, lodging, bar, restaurant, health, food, point_of_interest, establishment",1695,"Rue du Grand-Chêne 7-9, Lausanne"
Alpha by Fassbind,ChIJ4UgGmDIujEcRgctn0oWhHaU,4.1,"parking, lodging, bar, restaurant, food, point_of_interest, establishment",1600,"Rue du Petit-Chêne 34, Lausanne"
Angleterre & Résidence,ChIJM7F8XcUvjEcRhMXlkaSUxR4,4.3,"lodging, restaurant, food, point_of_interest, establishment",370,"Place du Port 11, Lausanne"
Beau-Rivage Palace,ChIJzw62ec8vjEcRuU86s4PT6Pg,4.7,"spa, lodging, restaurant, food, point_of_interest, establishment",2288,"Chemin de Beau-Rivage 21, Lausanne"
46a | apart'hôtel,ChIJcY225iswjEcRPn0teIO-W4I,3.4,"beauty_salon, gym, lodging, restaurant, health, food, point_of_interest, establishment",27,"Avenue de Rhodanie 46a, Lausanne"
Le Ticino - Restaurant Lausanne,ChIJf7O1TS0ujEcR9Hl-oXLuG34,4.3,"cafe, restaurant, food, point_of_interest, establishment",1316,"Place de la Gare 12, Lausanne"
Théâtre Vidy-Lausanne,ChIJMRopTSkwjEcR_uZIU-MzjUU,4.5,"restaurant, book_store, food, store, point_of_interest, establishment",692,"Avenue Emile-Henri-Jaques-Dalcroze 5, Lausanne"
La molisana,ChIJqbvTpNUxjEcR82aeGPPn9tg,4.4,"restaurant, food, point_of_interest, establishment",357,"Avenue de Tivoli 68, Lausanne"
Nandanam,ChIJa-7h2CwujEcRQ2KGzU6iEXU,4.4,"restaurant, food, point_of_interest, establishment",502,"Avenue Louis-Ruchonnet 11, Lausanne"
MYŌ Sushi Bar,ChIJEb2XAC0ujEcRqrkjh0TB19s,4.4,"restaurant, food, point_of_interest, establishment",362,"Allée Ernest-Ansermet 1, Lausanne"
Le Milan,ChIJS69iIdMvjEcRbCXSpcMsLik,4.4,"restaurant, food, point_of_interest, establishment",1369,"Boulevard de Grancy 54, Lausanne"
Hotel Royal Savoy Lausanne,ChIJuzSvIs4vjEcRi8sg1wgYbtU,4.6,"spa, lodging, restaurant, food, point_of_interest, establishment",1349,"Avenue d'Ouchy 40, Lausanne"
Restaurant Le Boccalino,ChIJvdnfU8UvjEcRJOyfqrcZLy8,4.0,"meal_takeaway, restaurant, food, point_of_interest, establishment",1813,"Avenue d'Ouchy 76, Lausanne"
Tacos Bar,ChIJ9bqZ2i0ujEcR08nXfggUyTg,3.9,"restaurant, food, point_of_interest, establishment",1238,"Rue de Genève 17, Lausanne"
Restaurant Pizzeria Bella Vita,ChIJayS0tzIujEcR7AhYUmDQq50,3.8,"meal_takeaway, restaurant, food, point_of_interest, establishment",1190,"Avenue de la Gare 52, Lausanne"
Brasserie Grand-Chêne,ChIJs_J19TIujEcRSFtpLJgSD5g,4.1,"restaurant, food, point_of_interest, establishment",312,"Rue du Grand-Chêne 7-9, Lausanne"
Petit Boeuf,ChIJOU_2jygujEcRStaWwwp7lvU,4.3,"restaurant, food, point_of_interest, establishment",899,"Avenue Vingt-Quatre-Janvier 4, Lausanne"
Au canard pekinois,ChIJ8YO5HiYujEcRMxEsTJjWbvI,4.5,"restaurant, food, point_of_interest, establishment",753,"Place Chauderon 16, Lausanne"
Diabolo Pizza,ChIJP1VNAdMvjEcRffsbQu5ulB0,3.8,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",408,"Avenue William-Fraisse 9, Lausanne"
